ampl_path,cp_model_path,cp_model,time,verbose,solver,in-file,out-file,status,obj_val
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size4_inst3.yaml,Yaml_instances_3/rand_size4_inst3_sol.out,0,51.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size5_inst1.yaml,Yaml_instances_3/rand_size5_inst1_sol.out,0,59.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size5_inst2.yaml,Yaml_instances_3/rand_size5_inst2_sol.out,0,85.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size5_inst3.yaml,Yaml_instances_3/rand_size5_inst3_sol.out,0,86.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size6_inst1.yaml,Yaml_instances_3/rand_size6_inst1_sol.out,0,96.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size6_inst2.yaml,Yaml_instances_3/rand_size6_inst2_sol.out,0,105.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size6_inst3.yaml,Yaml_instances_3/rand_size6_inst3_sol.out,0,95.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size7_inst1.yaml,Yaml_instances_3/rand_size7_inst1_sol.out,0,85.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size7_inst2.yaml,Yaml_instances_3/rand_size7_inst2_sol.out,0,98.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size7_inst3.yaml,Yaml_instances_3/rand_size7_inst3_sol.out,0,80.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size4_inst1.yaml,Yaml_instances_3/rand_size4_inst1_sol.out,0,60.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size4_inst2.yaml,Yaml_instances_3/rand_size4_inst2_sol.out,0,54.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size4_inst3.yaml,Yaml_instances_3/rand_size4_inst3_sol.out,0,51.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size5_inst1.yaml,Yaml_instances_3/rand_size5_inst1_sol.out,0,59.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size5_inst2.yaml,Yaml_instances_3/rand_size5_inst2_sol.out,0,85.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size5_inst3.yaml,Yaml_instances_3/rand_size5_inst3_sol.out,0,86.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size6_inst1.yaml,Yaml_instances_3/rand_size6_inst1_sol.out,0,96.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size6_inst2.yaml,Yaml_instances_3/rand_size6_inst2_sol.out,0,105.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size6_inst3.yaml,Yaml_instances_3/rand_size6_inst3_sol.out,0,95.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size7_inst1.yaml,Yaml_instances_3/rand_size7_inst1_sol.out,0,85.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size7_inst2.yaml,Yaml_instances_3/rand_size7_inst2_sol.out,0,98.0
,qcPlanner/qcOptimizer/ampl_models,quantum_courrier_cp.mod,60,1,2,Yaml_instances_3/rand_size7_inst3.yaml,Yaml_instances_3/rand_size7_inst3_sol.out,0,80.0
